fpr,tpr,threshold
0.0,0.0,inf
0.0,0.03125,0.8169143199920654
0.10526315789473684,0.03125,0.7939794659614563
0.10526315789473684,0.0625,0.75397789478302
0.2631578947368421,0.0625,0.7078477740287781
0.2631578947368421,0.21875,0.6866329908370972
0.3157894736842105,0.21875,0.6839850544929504
0.3157894736842105,0.28125,0.6779768466949463
0.3684210526315789,0.28125,0.6779109239578247
0.3684210526315789,0.46875,0.6497359871864319
0.42105263157894735,0.46875,0.6493582129478455
0.42105263157894735,0.5,0.6365348100662231
0.47368421052631576,0.5,0.6352294683456421
0.47368421052631576,0.53125,0.6331422328948975
0.5263157894736842,0.53125,0.6287854909896851
0.5263157894736842,0.5625,0.6286819577217102
0.5789473684210527,0.5625,0.6276419758796692
0.5789473684210527,0.59375,0.6204528212547302
0.631578947368421,0.59375,0.6174114942550659
0.631578947368421,0.75,0.6005274057388306
0.8421052631578947,0.75,0.5886899828910828
0.8421052631578947,0.78125,0.5866280794143677
0.8947368421052632,0.78125,0.5797950625419617
0.8947368421052632,1.0,0.5077642202377319
1.0,1.0,0.46515363454818726
