accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,epoch
0.6438053250312805,0.6712501049041748,0.6448531746864319,0.4416666626930237,0.36054420471191406,0.6875,0.7719602584838867,0.5158880949020386,0.52173912525177,0.3870967626571655,1
0.7743362784385681,0.8232184648513794,0.47131723165512085,0.7027027010917664,0.5306122303009033,0.71875,0.8126550912857056,0.515567421913147,0.550000011920929,0.7096773982048035,2
0.8097345232963562,0.8717296719551086,0.40931105613708496,0.7652173638343811,0.5986394286155701,0.75,0.822332501411438,0.48556676506996155,0.5945945978164673,0.7096773982048035,3
0.8407079577445984,0.8944239616394043,0.37164151668548584,0.7862595319747925,0.7006802558898926,0.7291666865348816,0.8344912528991699,0.49061688780784607,0.5609756112098694,0.7419354915618896,4
0.8185840845108032,0.8908330202102661,0.3797139525413513,0.7559055089950562,0.6530612111091614,0.7604166865348816,0.8481389284133911,0.4796735942363739,0.5952380895614624,0.8064516186714172,5
0.8517699241638184,0.8932195901870728,0.3738292455673218,0.8030303120613098,0.7210884094238281,0.7604166865348816,0.8573200702667236,0.48707544803619385,0.5909090638160706,0.8387096524238586,6
0.8805309534072876,0.931102991104126,0.30792689323425293,0.8780487775802612,0.7346938848495483,0.75,0.8568238019943237,0.4928050935268402,0.5777778029441833,0.8387096524238586,7
0.8849557638168335,0.9390431046485901,0.2937438189983368,0.8799999952316284,0.7482993006706238,0.7604166865348816,0.8605458736419678,0.48596009612083435,0.5909090638160706,0.8387096524238586,8
0.8938053250312805,0.951299250125885,0.27000024914741516,0.8960000276565552,0.761904776096344,0.7604166865348816,0.8622828722000122,0.5112714171409607,0.5909090638160706,0.8387096524238586,9
0.9048672318458557,0.9556708335876465,0.25335800647735596,0.8999999761581421,0.795918345451355,0.78125,0.8687344789505005,0.5096884369850159,0.6086956262588501,0.9032257795333862,10
