fpr,tpr,threshold
0.0,0.0,inf
0.0,0.03125,0.998950719833374
0.0,0.40625,0.9673516750335693
0.029850746268656716,0.40625,0.9074479937553406
0.029850746268656716,0.4375,0.9069181084632874
0.05970149253731343,0.4375,0.896716296672821
0.05970149253731343,0.5625,0.8665854334831238
0.1044776119402985,0.5625,0.8424637317657471
0.1044776119402985,0.625,0.7897478938102722
0.13432835820895522,0.625,0.7743080258369446
0.13432835820895522,0.78125,0.7497707605361938
0.16417910447761194,0.78125,0.7173420190811157
0.16417910447761194,0.8125,0.64185631275177
0.22388059701492538,0.8125,0.5626124143600464
0.22388059701492538,0.875,0.5307326316833496
0.31343283582089554,0.875,0.4336070120334625
0.31343283582089554,0.9375,0.384430468082428
0.34328358208955223,0.9375,0.3346734642982483
0.34328358208955223,0.96875,0.31853508949279785
0.3582089552238806,0.96875,0.30489790439605713
0.3582089552238806,1.0,0.2940787374973297
1.0,1.0,0.0033419395331293344
