fpr,tpr,threshold
0.0,0.0,inf
0.05263157894736842,0.0,0.7902942299842834
0.05263157894736842,0.25,0.6711256504058838
0.21052631578947367,0.25,0.6646301746368408
0.21052631578947367,0.40625,0.6313497424125671
0.2631578947368421,0.40625,0.6302471160888672
0.2631578947368421,0.4375,0.6271660923957825
0.3157894736842105,0.4375,0.6251412630081177
0.3157894736842105,0.5625,0.6097775101661682
0.3684210526315789,0.5625,0.6058936715126038
0.3684210526315789,0.59375,0.6020920276641846
0.47368421052631576,0.59375,0.5965033769607544
0.47368421052631576,0.625,0.5935681462287903
0.5263157894736842,0.625,0.5929089784622192
0.5263157894736842,0.78125,0.5533807873725891
0.6842105263157895,0.78125,0.5333771705627441
0.6842105263157895,0.8125,0.5280935764312744
0.7368421052631579,0.8125,0.5159323811531067
0.7368421052631579,0.84375,0.5150636434555054
0.7894736842105263,0.84375,0.5135475993156433
0.7894736842105263,0.90625,0.5123739838600159
0.9473684210526315,0.90625,0.48336267471313477
0.9473684210526315,1.0,0.46594640612602234
1.0,1.0,0.4197238087654114
