epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss,test_accuracy,test_auc,test_loss
1,0.7853982448577881,0.8185011744499207,0.4763599932193756,0.7708333134651184,0.844913125038147,0.8345907330513,0.7979797720909119,0.860541045665741,0.6689101457595825
2,0.9225663542747498,0.9796810150146484,0.18011948466300964,0.8020833134651184,0.8491314649581909,0.7465284466743469,0.8383838534355164,0.9169776439666748,0.6400941610336304
3,0.9734513163566589,0.994948148727417,0.08927112072706223,0.8020833134651184,0.8796525597572327,0.7911930084228516,0.8383838534355164,0.9172108173370361,0.7522525191307068
4,0.9867256879806519,0.9985390901565552,0.0494777075946331,0.8125,0.8875930905342102,0.8318473696708679,0.8787878751754761,0.8957556486129761,0.8337376117706299
5,0.9756637215614319,0.9981041550636292,0.0557120256125927,0.84375,0.8528536558151245,1.145193099975586,0.8484848737716675,0.9027519226074219,0.7862438559532166
6,0.980088472366333,0.9975019693374634,0.05444356054067612,0.8958333134651184,0.9210917949676514,1.157136082649231,0.9090909361839294,0.9538246393203735,0.40553465485572815
7,0.982300877571106,0.9978253245353699,0.05472101643681526,0.875,0.896526038646698,2.0553150177001953,0.8787878751754761,0.9027519226074219,1.0525195598602295
8,0.9756637215614319,0.9939556121826172,0.07097501307725906,0.8333333134651184,0.840942919254303,1.2403281927108765,0.868686854839325,0.87010258436203,0.94694983959198
9,0.98893803358078,0.998996376991272,0.04464254155755043,0.84375,0.8878412246704102,1.3286559581756592,0.868686854839325,0.910680890083313,0.7280744314193726
10,0.9933628439903259,0.9997769594192505,0.025804776698350906,0.875,0.92580646276474,1.0522066354751587,0.9292929172515869,0.9319030046463013,0.4562067687511444
11,0.9933628439903259,0.9997100234031677,0.025037888437509537,0.875,0.9285359382629395,1.1793144941329956,0.8888888955116272,0.9496268630027771,0.5175068974494934
12,0.9955752491950989,0.999910831451416,0.016627423465251923,0.84375,0.9240695238113403,1.2921046018600464,0.9090909361839294,0.9461286664009094,0.5205766558647156
13,0.9867256879806519,0.999598503112793,0.028139788657426834,0.8541666865348816,0.8771712779998779,1.7599292993545532,0.8787878751754761,0.9419310092926025,0.8035054802894592
14,0.98893803358078,0.9961190223693848,0.03775215893983841,0.8541666865348816,0.8940446972846985,1.2100731134414673,0.8888888955116272,0.9032182693481445,0.9069395661354065
15,0.9955752491950989,0.999531626701355,0.021971963346004486,0.8645833134651184,0.8704714775085449,1.2254196405410767,0.9090909361839294,0.9351679086685181,0.6097903251647949
16,0.9933628439903259,0.999576210975647,0.025070514529943466,0.8125,0.876675009727478,1.8162708282470703,0.8383838534355164,0.9062500596046448,1.492236852645874
17,0.9867256879806519,0.9931080341339111,0.07655033469200134,0.8333333134651184,0.8803970217704773,1.0659595727920532,0.8989899158477783,0.909981369972229,1.0603370666503906
