accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,epoch
0.6241610646247864,0.6461679935455322,0.655929446220398,0.5542822480201721,0.4531558156013489,0.658143937587738,0.7227673530578613,0.5921525359153748,0.5947368144989014,0.5219399333000183,1
0.6609721183776855,0.7072643041610718,0.6060649156570435,0.6105327606201172,0.491617351770401,0.6714015007019043,0.7337383031845093,0.585815966129303,0.6075000166893005,0.5612009167671204,2
0.6784625053405762,0.7295368909835815,0.589653491973877,0.6372007131576538,0.5118343234062195,0.6761363744735718,0.7386889457702637,0.5847034454345703,0.6050808429718018,0.6050808429718018,3
0.6758185625076294,0.7330197095870972,0.5850057601928711,0.6328029632568359,0.509861946105957,0.6846590638160706,0.7438936233520508,0.577115535736084,0.6295337080955505,0.5612009167671204,4
0.6888346672058105,0.7477462291717529,0.5747404098510742,0.6516443490982056,0.5276134014129639,0.689393937587738,0.7448407411575317,0.5778840184211731,0.6309226751327515,0.5842956304550171,5
0.6945291757583618,0.7564505934715271,0.5664117336273193,0.663557231426239,0.5261341333389282,0.6808711886405945,0.7452949285507202,0.5766090154647827,0.6212121248245239,0.568129301071167,6
0.6979866027832031,0.7617751955986023,0.5606740117073059,0.6676961183547974,0.5330374836921692,0.6837121248245239,0.7462568283081055,0.5767562389373779,0.6137930750846863,0.6166281700134277,7
0.7000203132629395,0.7720722556114197,0.5523831248283386,0.6720597147941589,0.5325443744659424,0.6941288113594055,0.7533594369888306,0.572095513343811,0.6309523582458496,0.6120092272758484,8
0.6957494616508484,0.7661359906196594,0.5567223429679871,0.6587111949920654,0.5443786978721619,0.6808711886405945,0.740916907787323,0.5839993953704834,0.6121495366096497,0.6050808429718018,9
0.7077486515045166,0.7752763628959656,0.5479927659034729,0.6783343553543091,0.5542406439781189,0.6808711886405945,0.7501158118247986,0.5728557109832764,0.6137440800666809,0.5981523990631104,10
0.6857840418815613,0.753891110420227,0.5679699778556824,0.646274983882904,0.5261341333389282,0.6875,0.7488740086555481,0.5706926584243774,0.6380696892738342,0.5496535897254944,11
0.7059182524681091,0.7779081463813782,0.5435879826545715,0.6811954975128174,0.5394477248191833,0.689393937587738,0.7569867372512817,0.5663254261016846,0.6415094137191772,0.5496535897254944,12
0.7138499021530151,0.7913682460784912,0.5294367671012878,0.6869356036186218,0.5626232624053955,0.6998106241226196,0.7614741325378418,0.5639761686325073,0.6907894611358643,0.4849884510040283,13
0.7232052087783813,0.8046673536300659,0.5135687589645386,0.7044757604598999,0.5665680766105652,0.6960227489471436,0.7554205656051636,0.572163462638855,0.6637426614761353,0.5242494344711304,14
0.7404921650886536,0.8218844532966614,0.4942494034767151,0.7267792224884033,0.594181478023529,0.7064393758773804,0.7643637657165527,0.5645164251327515,0.6614173054695129,0.581986129283905,15
0.7484238147735596,0.8320708870887756,0.4792416989803314,0.7366846203804016,0.6070019602775574,0.7064393758773804,0.7646825313568115,0.5669131875038147,0.6952381134033203,0.505773663520813,16
0.7573723793029785,0.8433626890182495,0.46481743454933167,0.7507507801055908,0.6163707971572876,0.7102272510528564,0.7573130130767822,0.6048169732093811,0.7055016160011292,0.5034642219543457,17
0.7596095204353333,0.8521575331687927,0.4497518241405487,0.7453595995903015,0.6336292028427124,0.7102272510528564,0.7561008334159851,0.6034919619560242,0.6895522475242615,0.5334873199462891,18
0.7736424803733826,0.8645502328872681,0.43446823954582214,0.7711914777755737,0.6415187120437622,0.6912878751754761,0.7522752285003662,0.6296073794364929,0.6308068633079529,0.5958429574966431,19
0.7773032188415527,0.8684970140457153,0.4269791543483734,0.7795087099075317,0.6415187120437622,0.7102272510528564,0.7571888566017151,0.6305193901062012,0.6953846216201782,0.5219399333000183,20
