fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0023148148148148147,0.9998646974563599
0.0,0.09259259259259259,0.9708747863769531
0.0032,0.09259259259259259,0.9701775908470154
0.0032,0.10648148148148148,0.9636204838752747
0.0048,0.10648148148148148,0.9610910415649414
0.0048,0.11574074074074074,0.9476706981658936
0.0064,0.11574074074074074,0.9471170902252197
0.0064,0.12731481481481483,0.93955397605896
0.008,0.12731481481481483,0.9347407817840576
0.008,0.1388888888888889,0.9238009452819824
0.0112,0.1388888888888889,0.9200152158737183
0.0112,0.1712962962962963,0.8944646120071411
0.0128,0.1712962962962963,0.8933670520782471
0.0128,0.2175925925925926,0.8540211319923401
0.0144,0.2175925925925926,0.8528914451599121
0.0144,0.22453703703703703,0.849724292755127
0.016,0.22453703703703703,0.8490831255912781
0.016,0.22685185185185186,0.8490446209907532
0.0192,0.22685185185185186,0.8430606722831726
0.0192,0.25,0.7992014288902283
0.0208,0.25,0.7965325713157654
0.0208,0.25925925925925924,0.7903197407722473
0.0224,0.25925925925925924,0.7839674353599548
0.0224,0.26157407407407407,0.780968427658081
0.024,0.26157407407407407,0.7804515957832336
0.024,0.2638888888888889,0.7782975435256958
0.0256,0.2638888888888889,0.7781124114990234
0.0256,0.2986111111111111,0.7511433362960815
0.0272,0.2986111111111111,0.7492268681526184
0.0272,0.30324074074074076,0.7469598650932312
0.0304,0.30324074074074076,0.7366927266120911
0.0304,0.3055555555555556,0.7366886138916016
0.0352,0.3055555555555556,0.7353335022926331
0.0352,0.3194444444444444,0.7204465866088867
0.0368,0.3194444444444444,0.7168593406677246
0.0368,0.32175925925925924,0.7156947255134583
0.04,0.32175925925925924,0.7026466727256775
0.04,0.32407407407407407,0.7026162147521973
0.0416,0.32407407407407407,0.7024352550506592
0.0416,0.3263888888888889,0.7012284398078918
0.0432,0.3263888888888889,0.7008039355278015
0.0432,0.33101851851851855,0.6956726312637329
0.0464,0.33101851851851855,0.6915785074234009
0.0464,0.3402777777777778,0.6795588135719299
0.0496,0.3402777777777778,0.6744285821914673
0.0496,0.3449074074074074,0.6641466617584229
0.0512,0.3449074074074074,0.6615724563598633
0.0512,0.3472222222222222,0.6605439782142639
0.0544,0.3472222222222222,0.6574651598930359
0.0544,0.34953703703703703,0.6571753025054932
0.0576,0.34953703703703703,0.6500394940376282
0.0576,0.35185185185185186,0.6492265462875366
0.0608,0.35185185185185186,0.6453449130058289
0.0608,0.3541666666666667,0.6435682773590088
0.0624,0.3541666666666667,0.6414929628372192
0.0624,0.35648148148148145,0.6400802731513977
0.0656,0.35648148148148145,0.638525664806366
0.0656,0.36574074074074076,0.6345416307449341
0.0688,0.36574074074074076,0.6328901052474976
0.0688,0.3726851851851852,0.6296106576919556
0.0704,0.3726851851851852,0.627414345741272
0.0704,0.3773148148148148,0.6263745427131653
0.072,0.3773148148148148,0.6246626973152161
0.072,0.38425925925925924,0.6220059990882874
0.0736,0.38425925925925924,0.6205114722251892
0.0736,0.3888888888888889,0.6175166368484497
0.0752,0.3888888888888889,0.6159468293190002
0.0752,0.3958333333333333,0.6116898059844971
0.0768,0.3958333333333333,0.6111448407173157
0.0768,0.39814814814814814,0.6093910336494446
0.0816,0.39814814814814814,0.6024174094200134
0.0816,0.40046296296296297,0.6018288135528564
0.0832,0.40046296296296297,0.6013126969337463
0.0832,0.4074074074074074,0.5935548543930054
0.0848,0.4074074074074074,0.5926675796508789
