fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0023148148148148147,0.9896727800369263
0.0,0.03935185185185185,0.9465272426605225
0.0016,0.03935185185185185,0.9435716271400452
0.0016,0.06018518518518518,0.9304313659667969
0.0032,0.06018518518518518,0.9276100993156433
0.0032,0.08564814814814815,0.9096562266349792
0.0048,0.08564814814814815,0.9091671705245972
0.0048,0.1111111111111111,0.8689290285110474
0.0064,0.1111111111111111,0.8687660694122314
0.0064,0.11574074074074074,0.8619431257247925
0.008,0.11574074074074074,0.8589672446250916
0.008,0.125,0.8447511196136475
0.0096,0.125,0.8437322378158569
0.0096,0.13425925925925927,0.8345567584037781
0.0112,0.13425925925925927,0.8328719735145569
0.0112,0.15046296296296297,0.8215282559394836
0.0128,0.15046296296296297,0.8188983798027039
0.0128,0.16435185185185186,0.8100897073745728
0.0144,0.16435185185185186,0.809627890586853
0.0144,0.19675925925925927,0.7847229838371277
0.0176,0.19675925925925927,0.7816986441612244
0.0176,0.19907407407407407,0.7803414463996887
0.0192,0.19907407407407407,0.7801263332366943
0.0192,0.20601851851851852,0.7762483954429626
0.0208,0.20601851851851852,0.7740501761436462
0.0208,0.20833333333333334,0.7731650471687317
0.0224,0.20833333333333334,0.7700616121292114
0.0224,0.2152777777777778,0.7665840983390808
0.024,0.2152777777777778,0.7661290764808655
0.024,0.22453703703703703,0.7611508965492249
0.0256,0.22453703703703703,0.7606310844421387
0.0256,0.22916666666666666,0.7568045854568481
0.0272,0.22916666666666666,0.7551550269126892
0.0272,0.2337962962962963,0.7547141313552856
0.0288,0.2337962962962963,0.753892719745636
0.0288,0.2361111111111111,0.7518311738967896
0.0304,0.2361111111111111,0.7507646679878235
0.0304,0.23842592592592593,0.7507187128067017
0.0336,0.23842592592592593,0.7502684593200684
0.0336,0.25,0.7440118193626404
0.0368,0.25,0.7415552139282227
0.0368,0.2662037037037037,0.7242540121078491
0.04,0.2662037037037037,0.7196193337440491
0.04,0.26851851851851855,0.7182237505912781
0.0416,0.26851851851851855,0.7179133892059326
0.0416,0.2708333333333333,0.7174741625785828
0.0432,0.2708333333333333,0.7168829441070557
0.0432,0.27314814814814814,0.7148466110229492
0.0448,0.27314814814814814,0.7147848606109619
0.0448,0.2800925925925926,0.710494875907898
0.048,0.2800925925925926,0.7088205814361572
0.048,0.2916666666666667,0.7022700309753418
0.0512,0.2916666666666667,0.7017597556114197
0.0512,0.30324074074074076,0.6966730952262878
0.0528,0.30324074074074076,0.6953547596931458
0.0528,0.3055555555555556,0.6935599446296692
0.056,0.3055555555555556,0.6924899816513062
0.056,0.32175925925925924,0.682977557182312
0.0592,0.32175925925925924,0.6820822954177856
0.0592,0.3263888888888889,0.6805940866470337
0.0608,0.3263888888888889,0.6804508566856384
0.0608,0.3333333333333333,0.6775951981544495
0.064,0.3333333333333333,0.676883339881897
0.064,0.33564814814814814,0.6748320460319519
0.0656,0.33564814814814814,0.6746842265129089
0.0656,0.3449074074074074,0.6730204820632935
0.0672,0.3449074074074074,0.6720278263092041
0.0672,0.34953703703703703,0.6709555983543396
0.0688,0.34953703703703703,0.6703588366508484
0.0688,0.35185185185185186,0.6702216267585754
0.0704,0.35185185185185186,0.6700534820556641
0.0704,0.3611111111111111,0.6643379926681519
0.072,0.3611111111111111,0.6637771725654602
0.072,0.36342592592592593,0.6628007888793945
0.0784,0.36342592592592593,0.6592862606048584
0.0784,0.3680555555555556,0.6571335196495056
0.08,0.3680555555555556,0.6561793684959412
0.08,0.3726851851851852,0.6556888222694397
0.0816,0.3726851851851852,0.6546149849891663
0.0816,0.3773148148148148,0.6544939279556274
0.0832,0.3773148148148148,0.6539345979690552
0.0832,0.3819444444444444,0.6516187191009521
0.0864,0.3819444444444444,0.6506965756416321
0.0864,0.38425925925925924,0.6497910618782043
0.088,0.38425925925925924,0.6497576832771301
0.088,0.3912037037037037,0.6441712379455566
0.0896,0.3912037037037037,0.6428003311157227
0.0896,0.4050925925925926,0.6392244696617126
0.0912,0.4050925925925926,0.6390694379806519
0.0912,0.41203703703703703,0.63727205991745
0.0928,0.41203703703703703,0.6359695196151733
0.0928,0.4212962962962963,0.63307785987854
0.0944,0.4212962962962963,0.6323484182357788
0.0944,0.4236111111111111,0.6315987706184387
0.1024,0.4236111111111111,0.6275463104248047
0.1024,0.42592592592592593,0.6272250413894653
0.1136,0.42592592592592593,0.618542492389679
0.1136,0.4375,0.615240752696991
0.1152,0.4375,0.6145719885826111
0.1152,0.4398148148148148,0.613888144493103
0.12,0.4398148148148148,0.6130267977714539
0.12,0.4444444444444444,0.6124263405799866
0.1216,0.4444444444444444,0.612381100654602
0.1216,0.4513888888888889,0.6104325652122498
0.1248,0.4513888888888889,0.6096210479736328
0.1248,0.4699074074074074,0.6070457696914673
0.1296,0.4699074074074074,0.6036493182182312
0.1296,0.4722222222222222,0.6034642457962036
0.1344,0.4722222222222222,0.6001151204109192
0.1344,0.47685185185185186,0.5991666913032532
0.1392,0.47685185185185186,0.5961564183235168
0.1392,0.4791666666666667,0.5961276292800903
0.1424,0.4791666666666667,0.5939913988113403
0.1424,0.4837962962962963,0.5924189686775208
0.1488,0.4837962962962963,0.5908207893371582
0.1488,0.49537037037037035,0.5879268050193787
0.152,0.49537037037037035,0.5865784287452698
0.152,0.5,0.5842564702033997
0.16,0.5,0.5796737670898438
0.16,0.5069444444444444,0.577216625213623
0.1648,0.5069444444444444,0.5752796530723572
0.1648,0.5092592592592593,0.5738926529884338
0.1696,0.5092592592592593,0.5718550086021423
0.1696,0.5115740740740741,0.5710679292678833
0.1728,0.5115740740740741,0.5673975944519043
0.1728,0.5208333333333334,0.5660640597343445
0.1744,0.5208333333333334,0.5651618242263794
0.1744,0.5300925925925926,0.5607360005378723
0.1808,0.5300925925925926,0.557654082775116
0.1808,0.5370370370370371,0.5558780431747437
0.184,0.5370370370370371,0.5554961562156677
0.184,0.5393518518518519,0.5547416806221008
0.192,0.5393518518518519,0.5499431490898132
0.192,0.5439814814814815,0.5490819811820984
0.2016,0.5439814814814815,0.5445823073387146
0.2016,0.5532407407407407,0.5418200492858887
0.2096,0.5532407407407407,0.5397836565971375
0.2096,0.5555555555555556,0.5388118028640747
0.2112,0.5555555555555556,0.5372110605239868
0.2112,0.5578703703703703,0.5363537669181824
0.2128,0.5578703703703703,0.5361822843551636
0.2128,0.5671296296296297,0.5340646505355835
0.216,0.5671296296296297,0.5335918664932251
0.216,0.5810185185185185,0.5288666486740112
0.2176,0.5810185185185185,0.5279773473739624
0.2176,0.5833333333333334,0.5278130769729614
0.2208,0.5833333333333334,0.5241312384605408
0.2208,0.5856481481481481,0.5239749550819397
0.2304,0.5856481481481481,0.5177780985832214
0.2304,0.5902777777777778,0.5175029635429382
0.2336,0.5902777777777778,0.5164669156074524
0.2336,0.5995370370370371,0.5149627923965454
0.2352,0.5995370370370371,0.5141002535820007
0.2352,0.6041666666666666,0.51332688331604
0.2384,0.6041666666666666,0.5131037831306458
0.2384,0.6064814814814815,0.5130878686904907
0.2448,0.6064814814814815,0.5116379261016846
0.2448,0.6087962962962963,0.511155366897583
0.2464,0.6087962962962963,0.5110888481140137
0.2464,0.6111111111111112,0.5096953511238098
0.248,0.6111111111111112,0.5090433359146118
0.248,0.6203703703703703,0.506282389163971
0.2496,0.6203703703703703,0.5060284733772278
0.2496,0.6226851851851852,0.5057796239852905
