accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,epoch
0.6245678067207336,0.6468532681465149,0.6651583313941956,0.5540379881858826,0.46005916595458984,0.6770833134651184,0.7180205583572388,0.5959448218345642,0.6446540951728821,0.47344109416007996,1
0.6587349772453308,0.7029345035552979,0.6143016815185547,0.603919267654419,0.5014792680740356,0.6761363744735718,0.7318457961082458,0.5881444215774536,0.6226415038108826,0.5334873199462891,2
0.668090283870697,0.7243655920028687,0.5936221480369568,0.6189903616905212,0.5078895688056946,0.6912878751754761,0.7380773425102234,0.5807008743286133,0.6550724506378174,0.5219399333000183,3
0.6817165017127991,0.7367010116577148,0.5830448269844055,0.6397103071212769,0.5226824283599854,0.6685606241226196,0.7363090515136719,0.5834673643112183,0.5945330262184143,0.6027713418006897,4
0.6920886635780334,0.746414065361023,0.5748979449272156,0.6561360955238342,0.5325443744659424,0.6751893758773804,0.7455210089683533,0.5806277990341187,0.5957446694374084,0.6466512680053711,5
0.6941224336624146,0.7535920739173889,0.568731427192688,0.6633416414260864,0.5246548056602478,0.6704545617103577,0.7396898865699768,0.5814058780670166,0.5986078977584839,0.5958429574966431,6
0.6992068290710449,0.7613691091537476,0.5618444681167603,0.6668692827224731,0.540926992893219,0.6903409361839294,0.7477359771728516,0.577771782875061,0.6226851940155029,0.6212471127510071,7
0.7014439702033997,0.7700580358505249,0.5546174049377441,0.6797176003456116,0.5221893787384033,0.6818181872367859,0.7497766613960266,0.5760387778282166,0.608501136302948,0.6281754970550537,8
0.695952832698822,0.7646182179450989,0.5573764443397522,0.6646077632904053,0.5305719971656799,0.6799242496490479,0.7509220838546753,0.5731202363967896,0.6053215265274048,0.6304849982261658,9
0.7042912244796753,0.7733089923858643,0.5500370860099792,0.6733092069625854,0.5498027801513672,0.6941288113594055,0.7522380948066711,0.5738902688026428,0.6238738894462585,0.6397228837013245,10
