precision,recall,threshold
0.32323232323232326,1.0,3.0048574e-05
0.32653061224489793,1.0,4.7316244e-05
0.32989690721649484,1.0,0.00015723599
0.3333333333333333,1.0,0.0006654112
0.3368421052631579,1.0,0.0018143136
0.3404255319148936,1.0,0.0027694495
0.34408602150537637,1.0,0.0032493903
0.34782608695652173,1.0,0.005080039
0.3516483516483517,1.0,0.0051589697
0.35555555555555557,1.0,0.00519286
0.3595505617977528,1.0,0.005932717
0.36363636363636365,1.0,0.0060509252
0.367816091954023,1.0,0.006454808
0.37209302325581395,1.0,0.007005384
0.3764705882352941,1.0,0.007280801
0.38095238095238093,1.0,0.008032917
0.3855421686746988,1.0,0.008353084
0.3902439024390244,1.0,0.008677368
0.3950617283950617,1.0,0.012590343
0.4,1.0,0.015370775
0.4050632911392405,1.0,0.017649034
0.41025641025641024,1.0,0.020389467
0.4155844155844156,1.0,0.023342263
0.42105263157894735,1.0,0.02686715
0.4266666666666667,1.0,0.02774778
0.43243243243243246,1.0,0.02817545
0.4383561643835616,1.0,0.032004397
0.4444444444444444,1.0,0.03904545
0.4507042253521127,1.0,0.039986525
0.45714285714285713,1.0,0.045439534
0.463768115942029,1.0,0.046365526
0.47058823529411764,1.0,0.05384791
0.47761194029850745,1.0,0.063899316
0.48484848484848486,1.0,0.06935775
0.49230769230769234,1.0,0.07373749
0.5,1.0,0.08567201
0.5079365079365079,1.0,0.087047
0.5161290322580645,1.0,0.11738813
0.5245901639344263,1.0,0.13148983
0.5333333333333333,1.0,0.13995628
0.5423728813559322,1.0,0.14370409
0.5517241379310345,1.0,0.15472452
0.5614035087719298,1.0,0.17009345
0.5535714285714286,0.96875,0.17166781
0.5636363636363636,0.96875,0.17221412
0.5555555555555556,0.9375,0.18584494
0.5660377358490566,0.9375,0.20091644
0.5769230769230769,0.9375,0.24856389
0.5882352941176471,0.9375,0.26946902
0.58,0.90625,0.28592736
0.5714285714285714,0.875,0.31209362
0.5833333333333334,0.875,0.3656384
0.5957446808510638,0.875,0.41541132
0.6086956521739131,0.875,0.4272167
0.6222222222222222,0.875,0.44294715
0.6363636363636364,0.875,0.4631245
0.6511627906976745,0.875,0.47855413
0.6666666666666666,0.875,0.49320403
0.6829268292682927,0.875,0.52779573
0.7,0.875,0.52971774
0.717948717948718,0.875,0.6171205
0.7105263157894737,0.84375,0.68394595
0.7297297297297297,0.84375,0.68803436
0.7222222222222222,0.8125,0.6938904
0.7142857142857143,0.78125,0.70442533
0.7352941176470589,0.78125,0.7460112
0.7575757575757576,0.78125,0.7714289
0.78125,0.78125,0.7738097
0.8064516129032258,0.78125,0.7748265
0.8,0.75,0.778991
0.8275862068965517,0.75,0.7854967
0.8571428571428571,0.75,0.8267096
0.8518518518518519,0.71875,0.8436116
0.8846153846153846,0.71875,0.8676261
0.88,0.6875,0.87979853
0.9166666666666666,0.6875,0.89008856
0.9130434782608695,0.65625,0.90564394
0.9090909090909091,0.625,0.9131528
0.9523809523809523,0.625,0.92519414
0.95,0.59375,0.945611
0.9473684210526315,0.5625,0.95988137
0.9444444444444444,0.53125,0.9808405
0.9411764705882353,0.5,0.9865188
0.9375,0.46875,0.9925793
0.9333333333333333,0.4375,0.9935789
1.0,0.4375,0.99708813
1.0,0.40625,0.998091
1.0,0.375,0.99843055
1.0,0.34375,0.9985016
1.0,0.3125,0.99864376
1.0,0.28125,0.99896747
1.0,0.25,0.9995214
1.0,0.21875,0.9996806
1.0,0.1875,0.9996994
1.0,0.15625,0.99989885
1.0,0.125,0.99990124
1.0,0.09375,0.99992156
1.0,0.0625,0.99993443
1.0,0.03125,0.99995255
