fpr,tpr,threshold
0.0,0.0,inf
0.0,0.03125,0.9999525547027588
0.0,0.4375,0.9970881342887878
0.014925373134328358,0.4375,0.9935789108276367
0.014925373134328358,0.625,0.9251941442489624
0.029850746268656716,0.625,0.913152813911438
0.029850746268656716,0.6875,0.8900885581970215
0.04477611940298507,0.6875,0.8797985315322876
0.04477611940298507,0.71875,0.8676260709762573
0.05970149253731343,0.71875,0.8436115980148315
0.05970149253731343,0.75,0.8267096281051636
0.08955223880597014,0.75,0.7789909839630127
0.08955223880597014,0.78125,0.7748265266418457
0.14925373134328357,0.78125,0.7044253349304199
0.14925373134328357,0.84375,0.6880343556404114
0.16417910447761194,0.84375,0.6839459538459778
0.16417910447761194,0.875,0.6171205043792725
0.31343283582089554,0.875,0.3120936155319214
0.31343283582089554,0.9375,0.2694690227508545
0.3582089552238806,0.9375,0.18584494292736053
0.3582089552238806,0.96875,0.17221412062644958
0.373134328358209,0.96875,0.17166781425476074
0.373134328358209,1.0,0.17009344696998596
1.0,1.0,3.0048573535168543e-05
